product_id,rm_id,quantity_required
607,RM007,0.05
608,RM008,1.0
608,RM009,1.0
608,RM003,0.1
608,RM001,1.5
608,RM007,0.05
609,RM008,1.0
609,RM009,1.0
609,RM003,0.1
609,RM001,1.5
609,RM007,0.05
610,RM008,1.0
610,RM009,1.0
610,RM003,0.1
610,RM001,1.5
610,RM007,0.05
611,RM008,1.0
611,RM009,1.0
611,RM003,0.1
611,RM001,1.5
611,RM007,0.05
612,RM008,1.0
612,RM009,1.0
612,RM003,0.1
612,RM001,1.5
612,RM007,0.05
613,RM008,1.0
613,RM009,1.0
613,RM003,0.1
613,RM001,1.5
613,RM007,0.05
614,RM008,1.0
614,RM009,1.0
614,RM003,0.1
614,RM001,1.5
614,RM007,0.05
615,RM008,1.0
615,RM009,1.0
615,RM003,0.1
615,RM001,1.5
615,RM007,0.05
616,RM008,1.0
616,RM009,1.0
616,RM003,0.1
616,RM001,1.5
616,RM007,0.05
617,RM008,1.0
617,RM009,1.0
617,RM003,0.1
617,RM001,1.5
617,RM007,0.05
618,RM008,1.0
618,RM009,1.0
618,RM003,0.1
618,RM001,1.5
618,RM007,0.05
619,RM008,1.0
619,RM009,1.0
619,RM003,0.1
619,RM001,1.5
619,RM007,0.05
620,RM008,1.0
620,RM009,1.0
620,RM003,0.1
620,RM001,1.5
620,RM007,0.05
621,RM008,1.0
621,RM009,1.0
621,RM003,0.1
621,RM001,1.5
621,RM007,0.05
622,RM008,1.0
622,RM009,1.0
622,RM003,0.1
622,RM001,1.5
622,RM007,0.05
623,RM008,1.0
623,RM009,1.0
623,RM003,0.1
623,RM001,1.5
623,RM007,0.05
624,RM008,1.0
624,RM009,1.0
624,RM003,0.1
624,RM001,1.5
624,RM007,0.05
625,RM008,1.0
625,RM009,1.0
625,RM003,0.1
625,RM001,1.5
625,RM007,0.05
626,RM008,1.0
626,RM009,1.0
626,RM003,0.1
626,RM001,1.5
626,RM007,0.05
627,RM008,1.0
627,RM009,1.0
627,RM003,0.1
627,RM001,1.5
627,RM007,0.05
628,RM008,1.0
628,RM009,1.0
628,RM003,0.1
628,RM001,1.5
628,RM007,0.05
629,RM008,1.0
629,RM009,1.0
629,RM003,0.1
629,RM001,1.5
629,RM007,0.05
630,RM008,1.0
630,RM009,1.0
630,RM003,0.1
630,RM001,1.5
630,RM007,0.05
631,RM008,1.0
631,RM009,1.0
631,RM003,0.1
631,RM001,1.5
631,RM007,0.05
632,RM008,1.0
632,RM009,1.0
632,RM003,0.1
632,RM001,1.5
632,RM007,0.05
633,RM008,1.0
633,RM009,1.0
633,RM003,0.1
633,RM001,1.5
633,RM007,0.05
634,RM008,1.0
634,RM009,1.0
634,RM003,0.1
634,RM001,1.5
634,RM007,0.05
635,RM008,1.0
635,RM009,1.0
635,RM003,0.1
635,RM001,1.5
635,RM007,0.05
636,RM008,1.0
636,RM009,1.0
636,RM003,0.1
636,RM001,1.5
636,RM007,0.05
637,RM008,1.0
637,RM009,1.0
637,RM003,0.1
637,RM001,1.5
637,RM007,0.05
638,RM008,1.0
638,RM009,1.0
638,RM003,0.1
638,RM001,1.5
638,RM007,0.05
639,RM008,1.0
639,RM009,1.0
639,RM003,0.1
639,RM001,1.5
639,RM007,0.05
640,RM008,1.0
640,RM009,1.0
640,RM003,0.1
640,RM001,1.5
640,RM007,0.05
641,RM008,1.0
641,RM009,1.0
641,RM003,0.1
641,RM001,1.5
641,RM007,0.05
642,RM008,1.0
642,RM009,1.0
642,RM003,0.1
642,RM001,1.5
642,RM007,0.05
643,RM008,1.0
643,RM009,1.0
643,RM003,0.1
643,RM001,1.5
643,RM007,0.05
644,RM008,1.0
644,RM009,1.0
644,RM003,0.1
644,RM001,1.5
644,RM007,0.05
645,RM008,1.0
645,RM009,1.0
645,RM003,0.1
645,RM001,1.5
645,RM007,0.05
646,RM008,1.0
646,RM009,1.0
646,RM003,0.1
646,RM001,1.5
646,RM007,0.05
647,RM008,1.0
647,RM009,1.0
647,RM003,0.1
647,RM001,1.5
647,RM007,0.05
648,RM008,1.0
648,RM009,1.0
648,RM003,0.1
648,RM001,1.5
648,RM007,0.05
649,RM008,1.0
649,RM009,1.0
649,RM003,0.1
649,RM001,1.5
649,RM007,0.05
650,RM008,1.0
650,RM009,1.0
650,RM003,0.1
650,RM001,1.5
650,RM007,0.05
651,RM008,1.0
651,RM009,1.0
651,RM003,0.1
651,RM001,1.5
651,RM007,0.05
652,RM008,1.0
652,RM009,1.0
652,RM003,0.1
652,RM001,1.5
652,RM007,0.05
653,RM008,1.0
653,RM009,1.0
653,RM003,0.1
653,RM001,1.5
653,RM007,0.05
654,RM008,1.0
654,RM009,1.0
654,RM003,0.1
654,RM001,1.5
654,RM007,0.05
655,RM008,1.0
655,RM009,1.0
655,RM003,0.1
655,RM001,1.5
655,RM007,0.05
656,RM008,1.0
656,RM009,1.0
656,RM003,0.1
656,RM001,1.5
656,RM007,0.05
657,RM008,1.0
657,RM009,1.0
657,RM003,0.1
657,RM001,1.5
657,RM007,0.05
658,RM008,1.0
658,RM009,1.0
658,RM003,0.1
658,RM001,1.5
658,RM007,0.05
659,RM008,1.0
659,RM009,1.0
659,RM003,0.1
659,RM001,1.5
659,RM007,0.05
660,RM008,1.0
660,RM009,1.0
660,RM003,0.1
660,RM001,1.5
660,RM007,0.05
661,RM008,1.0
661,RM009,1.0
661,RM003,0.1
661,RM001,1.5
661,RM007,0.05
662,RM008,1.0
662,RM009,1.0
662,RM003,0.1
662,RM001,1.5
662,RM007,0.05
663,RM008,1.0
663,RM009,1.0
663,RM003,0.1
663,RM001,1.5
663,RM007,0.05
664,RM008,1.0
664,RM009,1.0
664,RM003,0.1
664,RM001,1.5
664,RM007,0.05
665,RM008,1.0
665,RM009,1.0
665,RM003,0.1
665,RM001,1.5
665,RM007,0.05
666,RM008,1.0
666,RM009,1.0
666,RM003,0.1
666,RM001,1.5
666,RM007,0.05
667,RM008,1.0
667,RM009,1.0
667,RM003,0.1
667,RM001,1.5
667,RM007,0.05
668,RM008,1.0
668,RM009,1.0
668,RM003,0.1
668,RM001,1.5
668,RM007,0.05
669,RM008,1.0
669,RM009,1.0
669,RM003,0.1
669,RM001,1.5
669,RM007,0.05
670,RM008,1.0
670,RM009,1.0
670,RM003,0.1
670,RM001,1.5
670,RM007,0.05
671,RM008,1.0
671,RM009,1.0
671,RM003,0.1
671,RM001,1.5
671,RM007,0.05
672,RM008,1.0
672,RM009,1.0
672,RM003,0.1
672,RM001,1.5
672,RM007,0.05
673,RM008,1.0
673,RM009,1.0
673,RM003,0.1
673,RM001,1.5
673,RM007,0.05
674,RM008,1.0
674,RM009,1.0
674,RM003,0.1
674,RM001,1.5
674,RM007,0.05
675,RM008,1.0
675,RM009,1.0
675,RM003,0.1
675,RM001,1.5
675,RM007,0.05
676,RM008,1.0
676,RM009,1.0
676,RM003,0.1
676,RM001,1.5
676,RM007,0.05
677,RM008,1.0
677,RM009,1.0
677,RM003,0.1
677,RM001,1.5
677,RM007,0.05
678,RM008,1.0
678,RM009,1.0
678,RM003,0.1
678,RM001,1.5
678,RM007,0.05
679,RM008,1.0
679,RM009,1.0
679,RM003,0.1
679,RM001,1.5
679,RM007,0.05
680,RM008,1.0
680,RM009,1.0
680,RM003,0.1
680,RM001,1.5
680,RM007,0.05
681,RM008,1.0
681,RM009,1.0
681,RM003,0.1
681,RM001,1.5
681,RM007,0.05
682,RM008,1.0
682,RM009,1.0
682,RM003,0.1
682,RM001,1.5
682,RM007,0.05
683,RM008,1.0
683,RM009,1.0
683,RM003,0.1
683,RM001,1.5
683,RM007,0.05
684,RM008,1.0
684,RM009,1.0
684,RM003,0.1
684,RM001,1.5
684,RM007,0.05
685,RM008,1.0
685,RM009,1.0
685,RM003,0.1
685,RM001,1.5
685,RM007,0.05
686,RM008,1.0
686,RM009,1.0
686,RM003,0.1
686,RM001,1.5
686,RM007,0.05
687,RM008,1.0
687,RM009,1.0
687,RM003,0.1
687,RM001,1.5
687,RM007,0.05
688,RM008,1.0
688,RM009,1.0
688,RM003,0.1
688,RM001,1.5
688,RM007,0.05
689,RM008,1.0
689,RM009,1.0
689,RM003,0.1
689,RM001,1.5
689,RM007,0.05
690,RM008,1.0
690,RM009,1.0
690,RM003,0.1
690,RM001,1.5
690,RM007,0.05
691,RM008,1.0
691,RM009,1.0
691,RM003,0.1
691,RM001,1.5
691,RM007,0.05
692,RM008,1.0
692,RM009,1.0
692,RM003,0.1
692,RM001,1.5
692,RM007,0.05
693,RM008,1.0
693,RM009,1.0
693,RM003,0.1
693,RM001,1.5
693,RM007,0.05
189,RM008,1.0
189,RM009,1.0
189,RM003,0.1
189,RM001,1.5
189,RM007,0.05
190,RM008,1.0
190,RM009,1.0
190,RM003,0.1
190,RM001,1.5
190,RM007,0.05
191,RM008,1.0
191,RM009,1.0
191,RM003,0.1
191,RM001,1.5
191,RM007,0.05
192,RM008,1.0
192,RM009,1.0
192,RM003,0.1
192,RM001,1.5
192,RM007,0.05
193,RM008,1.0
193,RM009,1.0
193,RM003,0.1
193,RM001,1.5
193,RM007,0.05
194,RM008,1.0
194,RM009,1.0
194,RM003,0.1
194,RM001,1.5
194,RM007,0.05
195,RM008,1.0
195,RM009,1.0
195,RM003,0.1
195,RM001,1.5
195,RM007,0.05
196,RM008,1.0
196,RM009,1.0
196,RM003,0.1
196,RM001,1.5
196,RM007,0.05
387,RM008,1.0
387,RM009,1.0
387,RM003,0.1
387,RM001,1.5
387,RM007,0.05
388,RM008,1.0
388,RM009,1.0
388,RM003,0.1
388,RM001,1.5
388,RM007,0.05
389,RM008,1.0
389,RM009,1.0
389,RM003,0.1
389,RM001,1.5
389,RM007,0.05
390,RM008,1.0
390,RM009,1.0
390,RM003,0.1
390,RM001,1.5
390,RM007,0.05
391,RM008,1.0
391,RM009,1.0
391,RM003,0.1
391,RM001,1.5
391,RM007,0.05
938,RM008,1.0
938,RM009,1.0
938,RM003,0.1
938,RM001,1.5
938,RM007,0.05
939,RM008,1.0
939,RM009,1.0
939,RM003,0.1
939,RM001,1.5
939,RM007,0.05
940,RM008,1.0
940,RM009,1.0
940,RM003,0.1
940,RM001,1.5
940,RM007,0.05
941,RM008,1.0
941,RM009,1.0
941,RM003,0.1
941,RM001,1.5
941,RM007,0.05
942,RM008,1.0
942,RM009,1.0
942,RM003,0.1
942,RM001,1.5
942,RM007,0.05
943,RM008,1.0
943,RM009,1.0
943,RM003,0.1
943,RM001,1.5
943,RM007,0.05
944,RM008,1.0
944,RM009,1.0
944,RM003,0.1
944,RM001,1.5
944,RM007,0.05
945,RM008,1.0
945,RM009,1.0
945,RM003,0.1
945,RM001,1.5
945,RM007,0.05
946,RM008,1.0
946,RM009,1.0
946,RM003,0.1
946,RM001,1.5
946,RM007,0.05
947,RM008,1.0
947,RM009,1.0
947,RM003,0.1
947,RM001,1.5
947,RM007,0.05
948,RM008,1.0
948,RM009,1.0
948,RM003,0.1
948,RM001,1.5
948,RM007,0.05
949,RM008,1.0
949,RM009,1.0
949,RM003,0.1
949,RM001,1.5
949,RM007,0.05
950,RM008,1.0
950,RM009,1.0
950,RM003,0.1
950,RM001,1.5
950,RM007,0.05
951,RM008,1.0
951,RM009,1.0
951,RM003,0.1
951,RM001,1.5
951,RM007,0.05
952,RM008,1.0
952,RM009,1.0
952,RM003,0.1
952,RM001,1.5
952,RM007,0.05
953,RM008,1.0
953,RM009,1.0
953,RM003,0.1
953,RM001,1.5
953,RM007,0.05
954,RM008,1.0
954,RM009,1.0
954,RM003,0.1
954,RM001,1.5
954,RM007,0.05
955,RM008,1.0
955,RM009,1.0
955,RM003,0.1
955,RM001,1.5
955,RM007,0.05
956,RM008,1.0
956,RM009,1.0
956,RM003,0.1
956,RM001,1.5
956,RM007,0.05
957,RM008,1.0
957,RM009,1.0
957,RM003,0.1
957,RM001,1.5
957,RM007,0.05
958,RM008,1.0
958,RM009,1.0
958,RM003,0.1
958,RM001,1.5
958,RM007,0.05
959,RM008,1.0
959,RM009,1.0
959,RM003,0.1
959,RM001,1.5
959,RM007,0.05
960,RM008,1.0
960,RM009,1.0
960,RM003,0.1
960,RM001,1.5
960,RM007,0.05
961,RM008,1.0
961,RM009,1.0
961,RM003,0.1
961,RM001,1.5
961,RM007,0.05
962,RM008,1.0
962,RM009,1.0
962,RM003,0.1
962,RM001,1.5
962,RM007,0.05
963,RM008,1.0
963,RM009,1.0
963,RM003,0.1
963,RM001,1.5
963,RM007,0.05
964,RM008,1.0
964,RM009,1.0
964,RM003,0.1
964,RM001,1.5
964,RM007,0.05
965,RM008,1.0
965,RM009,1.0
965,RM003,0.1
965,RM001,1.5
965,RM007,0.05
966,RM008,1.0
966,RM009,1.0
966,RM003,0.1
966,RM001,1.5
966,RM007,0.05
967,RM008,1.0
967,RM009,1.0
967,RM003,0.1
967,RM001,1.5
967,RM007,0.05
968,RM008,1.0
968,RM009,1.0
968,RM003,0.1
968,RM001,1.5
968,RM007,0.05
969,RM008,1.0
969,RM009,1.0
969,RM003,0.1
969,RM001,1.5
969,RM007,0.05
970,RM008,1.0
970,RM009,1.0
970,RM003,0.1
970,RM001,1.5
970,RM007,0.05
971,RM008,1.0
971,RM009,1.0
971,RM003,0.1
971,RM001,1.5
971,RM007,0.05
972,RM008,1.0
972,RM009,1.0
972,RM003,0.1
972,RM001,1.5
972,RM007,0.05
973,RM008,1.0
973,RM009,1.0
973,RM003,0.1
973,RM001,1.5
973,RM007,0.05
974,RM008,1.0
974,RM009,1.0
974,RM003,0.1
974,RM001,1.5
974,RM007,0.05
975,RM008,1.0
975,RM009,1.0
975,RM003,0.1
975,RM001,1.5
975,RM007,0.05
976,RM008,1.0
976,RM009,1.0
976,RM003,0.1
976,RM001,1.5
976,RM007,0.05
977,RM008,1.0
977,RM009,1.0
977,RM003,0.1
977,RM001,1.5
977,RM007,0.05
978,RM008,1.0
978,RM009,1.0
978,RM003,0.1
978,RM001,1.5
978,RM007,0.05
979,RM008,1.0
979,RM009,1.0
979,RM003,0.1
979,RM001,1.5
979,RM007,0.05
980,RM008,1.0
980,RM009,1.0
980,RM003,0.1
980,RM001,1.5
980,RM007,0.05
981,RM008,1.0
981,RM009,1.0
981,RM003,0.1
981,RM001,1.5
981,RM007,0.05
982,RM008,1.0
982,RM009,1.0
982,RM003,0.1
982,RM001,1.5
982,RM007,0.05
983,RM008,1.0
983,RM009,1.0
983,RM003,0.1
983,RM001,1.5
983,RM007,0.05
984,RM008,1.0
984,RM009,1.0
984,RM003,0.1
984,RM001,1.5
984,RM007,0.05
985,RM008,1.0
985,RM009,1.0
985,RM003,0.1
985,RM001,1.5
985,RM007,0.05
986,RM008,1.0
986,RM009,1.0
986,RM003,0.1
986,RM001,1.5
986,RM007,0.05
987,RM008,1.0
987,RM009,1.0
987,RM003,0.1
987,RM001,1.5
987,RM007,0.05
988,RM008,1.0
988,RM009,1.0
988,RM003,0.1
988,RM001,1.5
988,RM007,0.05
989,RM008,1.0
989,RM009,1.0
989,RM003,0.1
989,RM001,1.5
989,RM007,0.05
990,RM008,1.0
990,RM009,1.0
990,RM003,0.1
990,RM001,1.5
990,RM007,0.05
991,RM008,1.0
991,RM009,1.0
991,RM003,0.1
991,RM001,1.5
991,RM007,0.05
992,RM008,1.0
992,RM009,1.0
992,RM003,0.1
992,RM001,1.5
992,RM007,0.05
993,RM008,1.0
993,RM009,1.0
993,RM003,0.1
993,RM001,1.5
993,RM007,0.05
994,RM008,1.0
994,RM009,1.0
994,RM003,0.1
994,RM001,1.5
994,RM007,0.05
995,RM008,1.0
995,RM009,1.0
995,RM003,0.1
995,RM001,1.5
995,RM007,0.05
996,RM008,1.0
996,RM009,1.0
996,RM003,0.1
996,RM001,1.5
996,RM007,0.05
997,RM008,1.0
997,RM009,1.0
997,RM003,0.1
997,RM001,1.5
997,RM007,0.05
998,RM008,1.0
998,RM009,1.0
998,RM003,0.1
998,RM001,1.5
998,RM007,0.05
999,RM008,1.0
999,RM009,1.0
999,RM003,0.1
999,RM001,1.5
999,RM007,0.05
1029,RM008,1.0
1029,RM009,1.0
1029,RM003,0.1
1029,RM001,1.5
1029,RM007,0.05
1030,RM008,1.0
1030,RM009,1.0
1030,RM003,0.1
1030,RM001,1.5
1030,RM007,0.05
1031,RM008,1.0
1031,RM009,1.0
1031,RM003,0.1
1031,RM001,1.5
1031,RM007,0.05
1032,RM008,1.0
1032,RM009,1.0
1032,RM003,0.1
1032,RM001,1.5
1032,RM007,0.05
1033,RM008,1.0
1033,RM009,1.0
1033,RM003,0.1
1033,RM001,1.5
1033,RM007,0.05
1034,RM008,1.0
1034,RM009,1.0
1034,RM003,0.1
1034,RM001,1.5
1034,RM007,0.05
1035,RM008,1.0
1035,RM009,1.0
1035,RM003,0.1
1035,RM001,1.5
1035,RM007,0.05
1036,RM008,1.0
1036,RM009,1.0
1036,RM003,0.1
1036,RM001,1.5
1036,RM007,0.05
1037,RM008,1.0
1037,RM009,1.0
1037,RM003,0.1
1037,RM001,1.5
1037,RM007,0.05
1038,RM008,1.0
1038,RM009,1.0
1038,RM003,0.1
1038,RM001,1.5
1038,RM007,0.05
1039,RM008,1.0
1039,RM009,1.0
1039,RM003,0.1
1039,RM001,1.5
1039,RM007,0.05
1040,RM008,1.0
1040,RM009,1.0
1040,RM003,0.1
1040,RM001,1.5
1040,RM007,0.05
1041,RM008,1.0
1041,RM009,1.0
1041,RM003,0.1
1041,RM001,1.5
1041,RM007,0.05
1042,RM008,1.0
1042,RM009,1.0
1042,RM003,0.1
1042,RM001,1.5
1042,RM007,0.05
1199,RM008,1.0
1199,RM009,1.0
1199,RM003,0.1
1199,RM001,1.5
1199,RM007,0.05
1200,RM008,1.0
1200,RM009,1.0
1200,RM003,0.1
1200,RM001,1.5
1200,RM007,0.05
1201,RM008,1.0
1201,RM009,1.0
1201,RM003,0.1
1201,RM001,1.5
1201,RM007,0.05
1202,RM008,1.0
1202,RM009,1.0
1202,RM003,0.1
1202,RM001,1.5
1202,RM007,0.05
1203,RM008,1.0
1203,RM009,1.0
1203,RM003,0.1
1203,RM001,1.5
1203,RM007,0.05
1204,RM008,1.0
1204,RM009,1.0
1204,RM003,0.1
1204,RM001,1.5
1204,RM007,0.05
1205,RM008,1.0
1205,RM009,1.0
1205,RM003,0.1
1205,RM001,1.5
1205,RM007,0.05
1206,RM008,1.0
1206,RM009,1.0
1206,RM003,0.1
1206,RM001,1.5
1206,RM007,0.05
1207,RM008,1.0
1207,RM009,1.0
1207,RM003,0.1
1207,RM001,1.5
1207,RM007,0.05
1208,RM008,1.0
1208,RM009,1.0
1208,RM003,0.1
1208,RM001,1.5
1208,RM007,0.05
1209,RM008,1.0
1209,RM009,1.0
1209,RM003,0.1
1209,RM001,1.5
1209,RM007,0.05
1210,RM008,1.0
1210,RM009,1.0
1210,RM003,0.1
1210,RM001,1.5
1210,RM007,0.05
1211,RM008,1.0
1211,RM009,1.0
1211,RM003,0.1
1211,RM001,1.5
1211,RM007,0.05
1212,RM008,1.0
1212,RM009,1.0
1212,RM003,0.1
1212,RM001,1.5
1212,RM007,0.05
1213,RM008,1.0
1213,RM009,1.0
1213,RM003,0.1
1213,RM001,1.5
1213,RM007,0.05
1214,RM008,1.0
1214,RM009,1.0
1214,RM003,0.1
1214,RM001,1.5
1214,RM007,0.05
1215,RM008,1.0
1215,RM009,1.0
1215,RM003,0.1
1215,RM001,1.5
1215,RM007,0.05
1216,RM008,1.0
1216,RM009,1.0
1216,RM003,0.1
1216,RM001,1.5
1216,RM007,0.05
1217,RM008,1.0
1217,RM009,1.0
1217,RM003,0.1
1217,RM001,1.5
1217,RM007,0.05
1218,RM008,1.0
1218,RM009,1.0
1218,RM003,0.1
1218,RM001,1.5
1218,RM007,0.05
1219,RM008,1.0
1219,RM009,1.0
1219,RM003,0.1
1219,RM001,1.5
1219,RM007,0.05
1220,RM008,1.0
1220,RM009,1.0
1220,RM003,0.1
1220,RM001,1.5
1220,RM007,0.05
1221,RM008,1.0
1221,RM009,1.0
1221,RM003,0.1
1221,RM001,1.5
1221,RM007,0.05
1222,RM008,1.0
1222,RM009,1.0
1222,RM003,0.1
1222,RM001,1.5
1222,RM007,0.05
1223,RM008,1.0
1223,RM009,1.0
1223,RM003,0.1
1223,RM001,1.5
1223,RM007,0.05
1224,RM008,1.0
1224,RM009,1.0
1224,RM003,0.1
1224,RM001,1.5
1224,RM007,0.05
1225,RM008,1.0
1225,RM009,1.0
1225,RM003,0.1
1225,RM001,1.5
1225,RM007,0.05
1226,RM008,1.0
1226,RM009,1.0
1226,RM003,0.1
1226,RM001,1.5
1226,RM007,0.05
